FieldGeneratedAction|
FieldObjectsGeneratedAction|
AddUnitAction|
AddUnitAction|
SelectUnitStartedAction|
SelectNextUnitAction|
SelectUnitStoppedAction|
IncorrectInputErrorAction|[1/2/3/4] are allowed, but user pressed j
ErrorResolvedAction|
SelectUnitStartedAction|
SelectNextUnitAction|
SelectUnitStoppedAction|
IncorrectInputErrorAction|[1/2/3/4] are allowed, but user pressed j
ErrorResolvedAction|
SelectUnitStartedAction|
SelectNextUnitAction|
SelectUnitStoppedAction|
AddUnitAction|
SelectUnitStartedAction|
SelectNextUnitAction|
SelectNextUnitAction|
SelectNextUnitAction|
SelectNextUnitAction|
SelectNextUnitAction|
SelectNextUnitAction|
SelectNextUnitAction|
SelectNextUnitAction|
SelectNextUnitAction|
SelectNextUnitAction|
SelectNextUnitAction|
SelectNextUnitAction|
SelectPreviousUnitAction|
SelectPreviousUnitAction|
SelectPreviousUnitAction|
SelectPreviousUnitAction|
SelectUnitStoppedAction|
SelectUnitStartedAction|
DeleteSelectedUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
SelectUnitStoppedAction|
IncorrectInputErrorAction|[1/2/3/4] are allowed, but user pressed m
ErrorResolvedAction|
SelectUnitStartedAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
IncorrectInputErrorAction|Selected unit can't move to this point
ErrorResolvedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitCanceledAction|
MoveUnitStartedAction|
MoveUnitCanceledAction|
MoveUnitStartedAction|
MoveUnitCanceledAction|
MoveUnitStartedAction|
MoveUnitCanceledAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
MoveUnitStartedAction|
MoveUnitAction|
SelectUnitStoppedAction|
IncorrectInputErrorAction|[1/2/3/4] are allowed, but user pressed 
ErrorResolvedAction|
IncorrectInputErrorAction|[1/2/3/4] are allowed, but user pressed M
